,Country,Code,Year,Units(Twh),Source,Consumption_Units(Twh)
4290,Africa,,1965,38.626795345855996,Hydro,13.90563517
4291,Africa,,1966,43.083379188898,Hydro,15.51000414
4292,Africa,,1967,44.974025979192,Hydro,16.19063636
4293,Africa,,1968,52.606543751868,Hydro,18.93834056
4294,Africa,,1969,61.39140911308801,Hydro,22.10088962
4295,Africa,,1970,76.75125528984401,Hydro,27.63042982
4296,Africa,,1971,72.259476974202,Hydro,26.0133909
4297,Africa,,1972,82.314500295992,Hydro,29.63319642
4298,Africa,,1973,87.07147965712801,Hydro,31.34570755
4299,Africa,,1974,99.075285649054,Hydro,35.66707429
4300,Africa,,1975,104.7722227066,Hydro,37.71796997
4301,Africa,,1976,116.104629550296,Hydro,41.79763324
4302,Africa,,1977,127.580013452818,Hydro,45.92876812
4303,Africa,,1978,128.63048818208605,Hydro,46.30693874
4304,Africa,,1979,137.68131292273998,Hydro,49.56523298
4305,Africa,,1980,134.199508470632,Hydro,48.31178436
4306,Africa,,1981,139.42485070645802,Hydro,50.19290606
4307,Africa,,1982,139.46188129163804,Hydro,50.20623713
4308,Africa,,1983,125.686656382578,Hydro,45.24716006
4309,Africa,,1984,123.583358033274,Hydro,44.48997332
4310,Africa,,1985,137.360346277078,Hydro,49.44968505
4311,Africa,,1986,142.070595045274,Hydro,51.1453733
4312,Africa,,1987,136.268054292134,Hydro,49.05646031
4313,Africa,,1988,148.870831318792,Hydro,53.59345636
4314,Africa,,1989,156.32294394714398,Hydro,56.27621477
4315,Africa,,1990,159.04084695479798,Hydro,57.25465912
4316,Africa,,1991,168.476491447752,Hydro,60.65148841
4317,Africa,,1992,160.72316107842605,Hydro,57.86029168
4318,Africa,,1993,157.451535127794,Hydro,56.68250727
4319,Africa,,1994,159.98915188010798,Hydro,57.59604857
4320,Africa,,1995,166.024790875282,Hydro,59.76887687
4321,Africa,,1996,173.101412647686,Hydro,62.31645867
4322,Africa,,1997,177.36819078332803,Hydro,63.85249756
4323,Africa,,1998,185.15261451086204,Hydro,66.65488788
4324,Africa,,1999,196.345327353914,Hydro,70.68426132
4325,Africa,,2000,209.01632443514802,Hydro,75.24581662
4326,Africa,,2001,223.16413158671799,Hydro,80.86411472
4327,Africa,,2002,233.562276849672,Hydro,85.18146813
4328,Africa,,2003,225.774896175328,Hydro,82.87260146
4329,Africa,,2004,236.60735123017398,Hydro,87.40546926
4330,Africa,,2005,239.575742493774,Hydro,89.06573418
4331,Africa,,2006,246.55513446617203,Hydro,92.24055301
4332,Africa,,2007,253.24856982091598,Hydro,95.34056181
4333,Africa,,2008,256.471099065604,Hydro,97.15720925
4334,Africa,,2009,261.71924131967,Hydro,99.7611369
4335,Africa,,2010,280.100861302732,Hydro,107.42683259999998
4336,Africa,,2011,286.213942026526,Hydro,110.444821
4337,Africa,,2012,285.78645640676,Hydro,110.9523002
4338,Africa,,2013,301.27108268334007,Hydro,117.6728464
4339,Africa,,2014,314.873831343308,Hydro,123.72679479999998
4340,Africa,,2015,303.209459789596,Hydro,119.8568199
4341,Africa,,2016,291.21639408404,Hydro,115.80125
